kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;maximale_constructiesnelheid;laadvermogen;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;vervaldatum_apk;bruto_bpm;aantal_zitplaatsen;aantal_cilinders;cilinderinhoud;massa_rijklaar;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;vermogen_massarijklaar;aantal_rolstoelplaatsen;maximum_ondersteunende_snelheid;jaar_laatste_registratie_tellerstand;vervaldatum_apk_dt;hoogte_voertuig;zuinigheidsclassificatie;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;aantal_staanplaatsen;vervaldatum_tachograaf;vervaldatum_tachograaf_dt;aanhangwagen_middenas_geremd;europese_voertuigcategorie_toevoeging;europese_uitvoeringcategorie_toevoeging;aanhangwagen_autonoom_geremd;verticale_belasting_koppelpunt_getrokken_voertuig;type_gasinstallatie;oplegger_geremd;subcategorie_nederland;hoogte_voertuig_minimum;hoogte_voertuig_maximum;afwijkende_maximum_snelheid
WB02TV;Aanhangwagen;MUNSTERLAND;590 P;20030725;caravan;N.v.t.;N.v.t.;1097;1350;19890526;19890526;Geen verstrekking in Open Data;N.v.t.;100;253;;2;724;;;230;O2;tegen r. balk 144 cm v. hart asstel;1350;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2003-07-25T00:00:00.000;1989-05-26T00:00:00.000;1989-05-26T00:00:00.000;75;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K518XX;Personenauto;SEAT;LEON SPORTSTOURER;20220315;stationwagen;ZWART;Niet geregistreerd;1262;1960;20210406;20210406;Geen verstrekking in Open Data;Ja;209;;5;4;0;0;464;180;M1;;1960;0;267;Nee;Nee;Nee;3360;Logisch;00;Ja;2022-03-15T00:00:00.000;2021-04-06T00:00:00.000;2021-04-06T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20250406;4334;5;4;1498;1362;680;1400;36541;KL;e9*2007/46*3167*07;SFDPBAX0;FM6SFM6AJ0264BIVL1BAF;0.07;0;0;2022;2025-04-06T00:00:00.000;145;B;;;;;;;;;;;;;;;;
TLB15Z;Motorrijtuig met beperkte snelheid;JLG;600AJ;20210923;Niet geregistreerd;N.v.t.;N.v.t.;;;20180630;20210923;Geen verstrekking in Open Data;Ja;;;;;;;;;Z;;;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-09-23T00:00:00.000;2018-06-30T00:00:00.000;2021-09-23T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;Verreiker;;;
VGF03H;Bedrijfsauto;VOLKSWAGEN;CADDY MODIFIED PARTITION WALL;20200617;gesloten opbouw;N.v.t.;N.v.t.;1396;2152;20200617;20200617;Geen verstrekking in Open Data;Ja;152;756;3;4;0;0;441;179;N1;;2152;0;268;Nee;Nee;Nee;3552;Logisch;00;Ja;2020-06-17T00:00:00.000;2020-06-17T00:00:00.000;2020-06-17T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230617;5656;2;4;1968;1496;690;;22935;2KN-PON;e4*2007/46*1480*03;BBDFSFX0;N0J2FM5FM5A4057N1SN2VR24BGG2NLL1AAM;0.04;0;0;2022;2023-06-17T00:00:00.000;182;;;;;;;1400;;;;;;;;;;
L124LG;Personenauto;TOYOTA;TOYOTA AYGO;20210709;hatchback;GRIJS;Niet geregistreerd;830;1240;20210709;20210709;Geen verstrekking in Open Data;Ja;160;;4;4;0;0;347;162;M1;;1240;0;234;Nee;Nee;Nee;0;Logisch;00;Ja;2021-07-09T00:00:00.000;2021-07-09T00:00:00.000;2021-07-09T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20250709;2354;4;3;998;930;;;16135;AB1;e6*2007/46*0348*04;KGB40(H);KGB40L-AHMGKW(1W);0.06;0;0;2021;2025-07-09T00:00:00.000;146;B;;;;;;;;;;;;;;;;
33MPJR;Motorfiets;PIAGGIO;MEDLEY 125;20210720;Niet geregistreerd;N.v.t.;N.v.t.;137;340;20210720;20210720;Geen verstrekking in Open Data;Ja;99;;0;2;0;0;202;71;L3;;340;0;140;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2021-07-20T00:00:00.000;2021-07-20T00:00:00.000;2021-07-20T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;341;2;1;125;144;;;3779;MD0A;e1*168/2013*00263*00;1;00;0.08;0;0;2021;;118;;;;;;;;e;e;;;;;;;;
LNR20L;Land- of bosb aanhw of getr uitr stuk;ZELFBOUW;ONBEKEND;20220223;Niet geregistreerd;N.v.t.;N.v.t.;;;20100630;20220223;Geen verstrekking in Open Data;Nee;40;;;;;;;;R;;;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2022-02-23T00:00:00.000;2010-06-30T00:00:00.000;2022-02-23T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LHR95N;Land- of bosb aanhw of getr uitr stuk;KUHN;GA 7301;20211103;Niet geregistreerd;N.v.t.;N.v.t.;;;20100630;20211103;Geen verstrekking in Open Data;Nee;25;;;;;;;;S;;;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-11-03T00:00:00.000;2010-06-30T00:00:00.000;2021-11-03T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LJR21P;Land- of bosb aanhw of getr uitr stuk;CLIMAX;ONBEKEND;20211122;Niet geregistreerd;N.v.t.;N.v.t.;;;19990630;20211122;Geen verstrekking in Open Data;Nee;40;;;;;;;;S;;;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-11-22T00:00:00.000;1999-06-30T00:00:00.000;2021-11-22T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J380LS;Personenauto;OPEL;GRANDLAND X;20201028;MPV;GRIJS;Niet geregistreerd;1380;2000;20190723;20201028;Geen verstrekking in Open Data;Ja;220;;5;4;;;448;186;M1;;2000;;268;Nee;Ja;Nee;3600;Geen oordeel;05;Ja;2020-10-28T00:00:00.000;2019-07-23T00:00:00.000;2020-10-28T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230723;6527;5;4;1598;1480;700;1600;41385;Z;;;;0.09;;;2021;2023-07-23T00:00:00.000;;;;;;;;;;;;;;;;;;
K930TP;Personenauto;SUZUKI;VITARA;20210303;hatchback;BLAUW;Niet geregistreerd;1120;1730;20181018;20210303;Geen verstrekking in Open Data;Ja;200;;5;4;0;0;0;0;M1;;1730;0;250;Nee;Nee;Nee;2930;Geen oordeel;05;Ja;2021-03-03T00:00:00.000;2018-10-18T00:00:00.000;2021-03-03T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20221018;3340;5;4;1373;1220;400;1200;33253;LY;e4*2007/46*0928*03;DA1S;AT2;0.08;0;0;2021;2022-10-18T00:00:00.000;160;;;;;;;;;;;;;;;;;
7775WH;Aanhangwagen;WILK;CI SAFARI 410;20030507;caravan;N.v.t.;N.v.t.;657;900;19790618;19790618;Geen verstrekking in Open Data;N.v.t.;100;243;;2;527;;;208;O2;r. tegen voorste dwarsbalk;900;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2003-05-07T00:00:00.000;1979-06-18T00:00:00.000;1979-06-18T00:00:00.000;75;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L304ST;Personenauto;HYUNDAI;KONA;20210730;MPV;GRIJS;Niet geregistreerd;1351;1880;20210423;20210730;Geen verstrekking in Open Data;Ja;160;;5;4;0;0;417;180;M1;;1880;0;260;Nee;Nee;Nee;0;Geen oordeel;05;Ja;2021-07-30T00:00:00.000;2021-04-23T00:00:00.000;2021-07-30T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20250423;1481;5;4;1580;1451;;;28632;OS;e4*2007/46*1259*10;F5P31;D61CZ1;0.01;0;0;2021;2025-04-23T00:00:00.000;157;;;;;;;;;;;;;;;;;
ZT899B;Personenauto;OPEL;ASTRA SPORTS TOURER;20190903;stationwagen;WIT;Niet geregistreerd;1178;1860;20190806;20190806;Geen verstrekking in Open Data;Ja;195;;5;4;0;0;470;0;M1;;1860;0;266;Nee;Nee;Nee;3000;Logisch;00;Ja;2019-09-03T00:00:00.000;2019-08-06T00:00:00.000;2019-08-06T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230806;3514;5;3;999;1278;620;1150;25697;B-K;e4*2007/46*0996*17;DA012CB12;BA2BABEAN15;0.06;0;0;2019;2023-08-06T00:00:00.000;;;;;;;;;;;;;;;;;;
J723ZJ;Personenauto;AUDI;A3 SPORTBACK;20201125;hatchback;ZWART;Niet geregistreerd;1295;1870;20201125;20201125;Geen verstrekking in Open Data;Ja;224;;4;4;0;0;434;182;M1;;1870;0;262;Nee;Nee;Nee;3370;Logisch;00;Ja;2020-11-25T00:00:00.000;2020-11-25T00:00:00.000;2020-11-25T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20241125;4046;5;4;1498;1395;690;1500;40126;GY;e1*2007/46*2060*07;SDFYAF1;FD7FD7CW002RT011B174BFAEM1MLN1B2;0.08;0;0;2021;2024-11-25T00:00:00.000;139;B;;;;;;;;;;;;;;;;
WP21PN;Aanhangwagen;TABBERT;011563;20140619;caravan;N.v.t.;N.v.t.;1240;1600;19960412;19960412;Geen verstrekking in Open Data;N.v.t.;100;360;;2;763;;;248;O2;r. tegen voorste dwarsbalk;1600;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2014-06-19T00:00:00.000;1996-04-12T00:00:00.000;1996-04-12T00:00:00.000;100;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N333LK;Personenauto;FORD;MUSTANG MACH-E;20211115;hatchback;BLAUW;Niet geregistreerd;2060;2605;20211115;20211115;Geen verstrekking in Open Data;Ja;180;;4;4;;;473;188;M1;;2605;0;298;Nee;Nee;Nee;3355;Logisch;00;Ja;2021-11-15T00:00:00.000;2021-11-15T00:00:00.000;2021-11-15T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20251115;;5;;;2160;750;750;56276;LSK;e13*2007/46*2387*00;EHL72YX;5AAAZNALWAB;0.06;;;2021;2025-11-15T00:00:00.000;163;;20211110;2021-11-10T00:00:00.000;;;;;;;;30;;;;;;
36WSDD;Middenasaanhangwagen;LMC;MUN EXQUISIT VIP 655;20180326;caravan;N.v.t.;N.v.t.;1790;2200;20150228;20180122;Geen verstrekking in Open Data;N.v.t.;130;410;0;4;887;0;891;253;O2;r. balk;2200;0;541;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2018-03-26T00:00:00.000;2015-02-28T00:00:00.000;2018-01-22T00:00:00.000;100;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;T-2007/46;e13*2007/46*1062*06;AC000;000026C20LM4039;;0;0;;;;;;;;;;;;;;;;;;;;
77MPZH;Motorfiets;HONDA;CBF125M;20220305;Niet geregistreerd;N.v.t.;N.v.t.;110;288;20220305;20220305;Geen verstrekking in Open Data;Ja;95;;0;2;0;0;202;75;L3;;288;0;128;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2022-03-05T00:00:00.000;2022-03-05T00:00:00.000;2022-03-05T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;219;2;1;124;117;;;2900;JC84;e4*168/2013*00136*00;1;1;0.07;0;0;2022;;110;;20220131;2022-01-31T00:00:00.000;;;;;e;e;;;;;;;;
26WSVJ;Middenasaanhangwagen;PROLINE;N/A;20180814;gesloten opbouw;N.v.t.;N.v.t.;540;1300;20180814;20180814;Geen verstrekking in Open Data;N.v.t.;130;760;0;2;361;0;0;185;O2;;1300;0;237;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2018-08-14T00:00:00.000;2018-08-14T00:00:00.000;2018-08-14T00:00:00.000;100;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;P102;e4*2007/46*1183*01;GA;1300CPLA1TS10;;0;0;;;;;;;;;;;;;;;;;;;;
79WTVK;Middenasaanhangwagen;PAUS;25 WH;20190508;ladderwagen;N.v.t.;N.v.t.;1800;1800;20190508;20190508;Geen verstrekking in Open Data;N.v.t.;140;;0;2;657;0;661;180;O2;;1900;0;481;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2019-05-08T00:00:00.000;2019-05-08T00:00:00.000;2019-05-08T00:00:00.000;100;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;EAG;e4*2007/46*0135*05;BIG EASY;E;;0;0;;;;;;;;;;;;;;;;;;;;
J329PB;Personenauto;BMW;418I;20200923;sedan;ZWART;Niet geregistreerd;1490;2070;20200923;20200923;Geen verstrekking in Open Data;Ja;210;;4;4;0;0;464;183;M1;;2070;0;281;Nee;Nee;Nee;3370;Logisch;00;Ja;2020-09-23T00:00:00.000;2020-09-23T00:00:00.000;2020-09-23T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240923;9274;5;3;1499;1590;695;1300;43941;3C;e1*2007/46*0316*23;4H11;DAW500L0;0.06;0;0;2020;2024-09-23T00:00:00.000;139;D;;;;;;;;;;;;;;;;
WDNG70;Aanhangwagen;BOECKMANN;P 10 P;20200808;veewagen;N.v.t.;N.v.t.;980;2700;20011116;20011116;Geen verstrekking in Open Data;N.v.t.;100;1720;;;575;;;225;O2;tegen r. balk 100 cm a. hart koppeling;2700;;75;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2020-08-08T00:00:00.000;2001-11-16T00:00:00.000;2001-11-16T00:00:00.000;150;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
G669KV;Personenauto;TOYOTA;TOYOTA AURIS;20191026;MPV;BLAUW;Niet geregistreerd;1310;1865;20151209;20191026;Geen verstrekking in Open Data;Ja;175;;4;4;0;0;460;176;M1;;1865;0;260;Nee;Nee;Nee;2210;Geen oordeel;05;Ja;2019-10-26T00:00:00.000;2015-12-09T00:00:00.000;2019-10-26T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20231209;1355;5;4;1798;1410;345;345;27939;HE15U(A);e11*2007/46*0018*10;ZWE186(W);ZWE186L-DWXNBW(5V);0.01;0;0;2021;2023-12-09T00:00:00.000;149;A;;;;;;;;;;;;;;;;
TPG81T;Motorrijtuig met beperkte snelheid;VOLVO;L60F;20211027;Niet geregistreerd;N.v.t.;N.v.t.;;;20080630;20211027;Geen verstrekking in Open Data;Nee;;;;;;;;;Z;;;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-10-27T00:00:00.000;2008-06-30T00:00:00.000;2021-10-27T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;Wiellader;;;
K799BL;Personenauto;MERCEDES-BENZ;GLE 450 4MATIC;20210304;stationwagen;ZWART;Niet geregistreerd;2120;3020;20200203;20210304;Geen verstrekking in Open Data;Ja;250;;5;4;0;0;0;0;M1;;3020;0;300;Nee;Ja;Nee;6620;Geen oordeel;05;Ja;2021-03-04T00:00:00.000;2020-02-03T00:00:00.000;2021-03-04T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240203;17037;5;6;2999;2220;750;3500;144023;H1GLE;e1*2007/46*1885*06;B26DT1;CZAAD5ED;0;0;0;2021;2024-02-03T00:00:00.000;;;;;;;;;;;;;;;;;;
11WLBD;Middenasaanhangwagen;EDUARDS;AT-20;20140509;neerklapbare zijschotten;N.v.t.;N.v.t.;1000;2000;20021030;20140509;Geen verstrekking in Open Data;N.v.t.;100;1000;;;560;;;270;O2;r. dwarsbalk a. hart koppeling;2000;;84;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2014-05-09T00:00:00.000;2002-10-30T00:00:00.000;2014-05-09T00:00:00.000;100;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J721GX;Personenauto;NISSAN;NISSAN JUKE;20200803;MPV;WIT;Niet geregistreerd;1157;1700;20200803;20200803;Geen verstrekking in Open Data;Ja;180;;4;4;0;0;421;180;M1;;1700;0;264;Nee;Nee;Nee;2950;Logisch;00;Ja;2020-08-03T00:00:00.000;2020-08-03T00:00:00.000;2020-08-03T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240803;4294;5;3;999;1257;628;1250;27141;F16;e9*2007/46*6697*02;A;A02;0.07;0;0;2022;2024-08-03T00:00:00.000;159;C;;;;;;;;;;;;;;;;
WLJT83;Aanhangwagen;KIP;44V;20210721;caravan;N.v.t.;N.v.t.;990;1300;20040114;20040114;Geen verstrekking in Open Data;N.v.t.;100;310;0;0;647;0;650;219;O2;r. onderop trekdriehoek 130 cm a. hart koppeling;1300;0;0;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2021-07-21T00:00:00.000;2004-01-14T00:00:00.000;2004-01-14T00:00:00.000;75;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFG90K;Land- of bosb aanhw of getr uitr stuk;DEZEURE;D23;20210806;Niet geregistreerd;N.v.t.;N.v.t.;;;20170630;20210806;Geen verstrekking in Open Data;Nee;40;;;;;;;;R;;;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-08-06T00:00:00.000;2017-06-30T00:00:00.000;2021-08-06T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H543DK;Personenauto;SEAT;ARONA;20200115;hatchback;ZWART;Niet geregistreerd;1112;1655;20200115;20200115;Geen verstrekking in Open Data;Ja;190;;5;4;0;0;414;178;M1;;1655;0;255;Nee;Nee;Nee;2755;Logisch;00;Ja;2020-01-15T00:00:00.000;2020-01-15T00:00:00.000;2020-01-15T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240115;4038;5;3;999;1212;600;1100;27897;KJ;e9*2007/46*3134*23;XDKRF;FD7SFD7CW0074BF3A1AAC;0.07;0;0;2021;2024-01-15T00:00:00.000;155;C;;;;;;;;;;;;;;;;
WTVH87;Aanhangwagen;KNAUS TABBERT;E04;20190126;caravan;N.v.t.;N.v.t.;1100;1350;20050512;20060909;Geen verstrekking in Open Data;N.v.t.;100;250;;;705;;;230;O2;tegen r. balk 150 cm v. achteras;1350;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2019-01-26T00:00:00.000;2005-05-12T00:00:00.000;2006-09-09T00:00:00.000;100;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
